positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
5438,8.60135049942296,5.99,1.944480556245719,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,TRUE
139,4.941642422609304,3.99,1.6074359097634274,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,2,FALSE
793,6.677083461247136,8.59,2.2607208888953467,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,TRUE
71,4.276666119016055,3.99,1.6074359097634274,0,0,0,1,2008,TRUE,FALSE,FALSE,2,1,3,FALSE
294,5.68697535633982,3.99,1.6074359097634274,0,0,0,1,2009,TRUE,FALSE,FALSE,2,1,3,FALSE
482,6.180016653652572,7.99,2.196112848483529,0,0,0,1,2009,TRUE,TRUE,FALSE,2,2,3,FALSE
30,3.4339872044851463,4.49,1.7029282555214393,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
256,5.54907608489522,4.49,1.7029282555214393,0,0,0,1,2007,TRUE,FALSE,FALSE,1,2,3,FALSE
429,6.063785208687608,4.49,1.7029282555214393,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
437,6.082218910376446,4.25,1.6582280766035324,0,0,0,1,2006,TRUE,TRUE,FALSE,1,1,3,FALSE
71,4.276666119016055,4.25,1.6582280766035324,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,FALSE
1106,7.009408932708637,4.25,1.6582280766035324,0,0,0,1,2007,TRUE,TRUE,FALSE,1,1,3,TRUE
707,6.56244409369372,0,0,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
10,2.3978952727983707,4.25,1.6582280766035324,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,1,FALSE
10,2.3978952727983707,4.25,1.6582280766035324,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,2,FALSE
21,3.091042453358316,4.25,1.6582280766035324,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
11,2.4849066497880004,4.25,1.6582280766035324,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,2,FALSE
23,3.1780538303479458,4.25,1.6582280766035324,0,0,0,1,2009,TRUE,FALSE,FALSE,1,1,3,FALSE
368,5.910796644040527,4.25,1.6582280766035324,0,0,0,1,2008,TRUE,TRUE,FALSE,1,1,3,FALSE
98,4.59511985013459,4.25,1.6582280766035324,0,0,0,1,2008,TRUE,FALSE,FALSE,1,2,3,FALSE
8,2.1972245773362196,4.25,1.6582280766035324,0,0,0,1,2009,TRUE,FALSE,FALSE,1,1,2,FALSE
